問,科目,解答,正誤,回答,理由
問11,生物,"[(3,)]",○,[3],血管の中で、血管平滑筋細胞を持たず、血管内皮細胞とその外側の基底膜のみから構成されるのは毛細血管である。この薄い構造により、血液と組織の間で栄養成分、酸素、二酸化炭素、老廃物などの物質交換が効率的に行われる。大動脈、細動脈、大静脈は平滑筋層を持つ。胸管はリンパ管である。したがって、選択肢3が正しい。
問12,生物,"[(5,)]",○,[5],ヒトにおいて、核酸に含まれるプリン塩基（アデニンとグアニン）は、代謝されて最終的に尿酸となる。アデニンはヒポキサンチンを経てキサンチンに、グアニンは直接キサンチンに変換され、キサンチンはキサンチンオキシダーゼによって尿酸に酸化される。構造式1はヒポキサンチン、2はグアニン、3はアデニン、4はキサンチン、5は尿酸である。したがって、最終代謝産物は尿酸であり、選択肢5が正しい。
問13,生物,"[(3,)]",○,[3],真核生物において、遺伝子の転写を開始するためには、RNAポリメラーゼIIがDNA上の特定の領域に結合する必要がある。この転写開始点を制御するDNA領域をプロモーターと呼ぶ。プロモーターにはTATAボックスなどの配列が含まれ、基本転写因子群とともにRNAポリメラーゼIIが結合する複合体を形成する。イントロンとエクソンは転写される領域、テロメアは染色体末端の保護構造、ターミネーターは転写終結シグナル領域である。したがって、選択肢3が正しい。
問14,生物,"[(5,)]",○,[5],オステオカルシンは骨基質タンパク質の一つであり、カルシウムイオンと結合する能力を持つ。この結合能は、タンパク質合成後の翻訳後修飾によって獲得される。具体的には、オステオカルシン中の特定のグルタミン酸残基が、ビタミンK依存性の酵素によってγ位がカルボキシル化され、γ-カルボキシグルタミン酸(Gla)残基となる。このGla残基が2価の負電荷を持つため、カルシウムイオンと強く結合できるようになる。この修飾はカルボキシル化である。したがって、選択肢5が正しい。
問15,生物,"[(2,)]",○,[2],ウイルス粒子において、中心にあるウイルスゲノム（核酸）を取り囲んでいるタンパク質の殻構造をカプシドと呼ぶ。カプシドは、カプソメアと呼ばれるタンパク質サブユニットから構成される。エンベロープは一部のウイルスが持つ脂質二重膜の外被、コアはゲノムとカプシドを合わせた内部構造、スパイクはエンベロープ表面の突起状タンパク質、ビリオンは感染性を有する完全なウイルス粒子全体を指す。したがって、選択肢2が正しい。
問16,衛生,"[(4,)]",×,[2],提示されたグラフは、1950年代に高い値を示した後、急激に低下し、1970年代半ばに最低値を記録した後、緩やかに上昇し、近年再び低下傾向にある日本の人口動態指標を示している。この特徴的な推移は、合計特殊出生率（一人の女性が生涯に産む子供の数の平均）の変動パターンと一致する。出生率はより高い値を示し、戦後一貫して低下傾向（多少の変動はある）。総再生産率は合計特殊出生率と似た動きだが値が異なる。粗死亡率は戦後低下したが近年高齢化により上昇。年齢調整死亡率は医学の進歩などにより低下傾向。したがって、選択肢2が正しい。
問17,衛生,"[(1,)]",○,[1],再興感染症とは、過去に流行し公衆衛生上の問題とならなくなったと考えられていたが、近年再び感染者数が増加したり、新たな地域で流行したりしている感染症のこと。結核は、治療法の開発などで一時は減少したが、薬剤耐性菌の出現や社会経済的要因の変化などにより、依然として世界的な問題であり、日本でも再興感染症と位置づけられている。他の選択肢は新興感染症（SARS、レジオネラ症）やその他の感染症。したがって、選択肢1が正しい。
問18,衛生,"[(3,)]",○,[3],労働安全衛生における衛生管理は、作業環境管理、作業管理、健康管理の3つが基本となる。有害物質の経皮曝露を防ぐために化学防護手袋を使用することは、作業方法の改善や保護具の使用に該当し、作業管理に含まれる。作業環境管理は作業場所の有害物質濃度低減など、健康管理は健康診断など、労働衛生教育は知識の付与、作業環境管理は環境改善、総括管理は全体の管理体制を指す。したがって、選択肢3が正しい。
問19,衛生,"[(3,)]",○,[3],提示された構造式は、イミダゾール環を持つアミンであり、ヒスタミンである。ヒスタミンは、生体内でアミノ酸のヒスチジンが、ヒスチジン脱炭酸酵素によって脱炭酸されることによって生成される腐敗アミン（生体アミン）の一種である。したがって、前駆体となるアミノ酸はヒスチジンであり、選択肢3が正しい。
問20,衛生,"[(3,)]",○,[3],コウジカビの一種である Aspergillus flavus や Aspergillus parasiticus が産生するカビ毒（マイコトキシン）の中で、特に毒性が強く、主要な肝発がん物質として知られているのはアフラトキシン類である。特にアフラトキシンB₁は天然物の中で最も強力な発がん物質の一つとされる。シトリニン、パツリン、フモニシン、デオキシニバレノールもカビ毒だが、産生菌や主な毒性が異なる。したがって、選択肢3が正しい。
問21,衛生,"[(1,)]",○,[1],化審法（化学物質の審査及び製造等の規制に関する法律）は、主に意図的に製造・輸入される新規化学物質や既存化学物質の性状等に応じた規制を行う法律である。ポリ塩化ジベンゾ-p-ジオキシン（ダイオキシン類）は、主に燃焼過程などで非意図的に生成される物質であり、化審法の直接的な規制対象ではない（ただし、ダイオキシン類対策特別措置法などで厳しく規制されている）。ポリ塩化ビフェニル(PCB)も非意図的生成物を含むが、化審法で第一種特定化学物質に指定されている。ペルフルオロ（オクタン-1-スルホン酸）(PFOS)、ヘキサブロモビフェニル、ビス（トリブチルスズ）＝オキシド(TBTO)は意図的に製造・使用された経緯があり、化審法等で規制されている（PFOS、ヘキサブロモビフェニルは第一種特定化学物質）。したがって、「主に非意図的に生成することから化審法で規制されていない」ものとしては、選択肢1が最も適切と考えられる（ただし、別の法律で規制されている点に注意）。
問22,衛生,"[(4,)]",○,[4],"ガラス工白内障（熱白内障）は、高温の炉などを扱うガラス工や溶接工などにみられる職業性の白内障であり、長期間にわたる赤外線の曝露が原因とされる。赤外線は非電離放射線であり、その熱作用によって水晶体タンパク質が変性し、混濁すると考えられている。紫外線（UVA, UVB, UVC）は主に紫外線白内障の原因となる。可視光線は通常、白内障の直接的な原因とは考えにくい。したがって、選択肢4が正しい。"
問23,衛生,"[(4,)]",×,[5],水道水質基準における大腸菌の検査では、大腸菌が特異的に持つ酵素であるβ-グルクロニダーゼを利用する方法が一般的である。この酵素は、β-グルクロニド結合を持つ基質を加水分解する。選択肢の中で、β-D-グルクロニド構造を持つ基質は5である。この種の基質（例: X-Gluc）は、酵素反応によって発色団や蛍光物質を遊離し、大腸菌の存在を検出するために用いられる。したがって、選択肢5が正しい。
問24,衛生,"[(2,)]",○,[2],湖沼などで富栄養化が起こると、藍藻類や放線菌が異常増殖し、カビ臭の原因物質を産生することがある。代表的なカビ臭物質として、ジェオスミンと2-メチルイソボルネオール(2-MIB)が知られている。選択肢の中ではジェオスミンが該当する。クロラミン、トリハロメタンは水道水の消毒副生成物。クロロフェノールは異臭味の原因物質。ミクロシスチンは藍藻が産生する肝毒素。したがって、選択肢2が正しい。
問25,衛生,"[(2,)]",○,[2],逆転層とは、高度が上昇するにつれて気温が上昇する層のことであり、大気の鉛直混合が抑制されるため、地表付近の大気汚染物質が拡散しにくくなり、滞留を引き起こす。盆地や谷間などの地形では、夜間に山腹から冷たい空気が下降・流入して底に溜まり、地表付近に冷気層が形成されることがある。これが地形性逆転層であり、汚染物質の滞留の原因となる。したがって、選択肢2が正しい。
問26,薬理,"[(4,)]",×,[2],図はアセチルコリン(ACh)の用量反応曲線を示す。破線（ACh単独）と比較して、実線（薬物X存在下）では、同じ反応を得るために必要なACh濃度が高濃度側にシフトしており、最大反応高さは変化していない。これは、薬物XがAChの作用に対して競合的に拮抗していることを示す。選択肢の中で、AChのムスカリン受容体に対する競合的拮抗薬はアトロピンである。ヒスタミンは作動薬、ピリドスチグミンはコリンエステラーゼ阻害薬（ACh作用増強）、パパベリンは非特異的平滑筋弛緩薬、ベタネコールはムスカリン作動薬である。したがって、選択肢2が正しい。
問27,薬理,"[(1,)]",○,[1],フェニレフリンは、アドレナリンα₁受容体を選択的に刺激する作動薬である。血管平滑筋に存在するα₁受容体が刺激されると、血管が収縮し、末梢血管抵抗が増大するため、血圧が上昇する。したがって、フェニレフリンの昇圧作用の機序はアドレナリンα₁受容体刺激である。選択肢1が正しい。
問28,薬理,"[(5,)]",○,[5],ピロカルピンは、ムスカリン性アセチルコリン受容体作動薬である。眼の毛様体筋にはムスカリンM₃受容体が存在し、ピロカルピンがこれを刺激すると毛様体筋が収縮する。毛様体筋の収縮により、線維柱帯が広がり、房水の流出が促進され、眼圧が下降する。また、瞳孔括約筋も収縮し、縮瞳が起こる。したがって、ピロカルピンが毛様体筋を収縮させる機序はアセチルコリンM₃受容体刺激である。選択肢5が正しい。
問29,薬理,"[(1,)]",○,[1],ロクロニウムは、非脱分極性の神経筋遮断薬（筋弛緩薬）である。神経筋接合部において、骨格筋の終板上に存在するニコチン性アセチルコリン(N<0xE2><0x82><0x99>)受容体に対して、アセチルコリンと競合的に結合し、アセチルコリンによる筋収縮を阻害する。これにより筋弛緩作用を示す。したがって、作用点はアセチルコリンN<0xE2><0x82><0x99>受容体である。選択肢1が正しい。
問30,薬理,"[(3,)]",○,[3],"オレキシンは、視床下部から分泌される神経ペプチドであり、覚醒状態の維持に重要な役割を果たしている。オレキシン受容体（OX₁R, OX₂R）を遮断すると、オレキシンの覚醒促進作用が抑制され、睡眠が誘導される。レンボレキサントは、オレキシン受容体拮抗薬であり、不眠症の治療に用いられる。ヒドロキシジンは抗ヒスタミン薬、リルマザホンとゾピクロンはGABA<0xE2><0x82><0x90>受容体作動薬、ペントバルビタールはバルビツール酸系薬である。したがって、選択肢3が正しい。"
問31,薬理,"[(4,)]",○,[4],タンドスピロンは、アザピロン系の抗不安薬である。その主な作用機序は、脳内のセロトニン神経系に作用し、シナプス前部に存在するセロトニン5-HT₁<0xE2><0x82><0x90>自己受容体を部分作動薬として刺激することである。これにより、セロトニンの放出が抑制され、抗不安作用や抗うつ作用を示すと考えられている。したがって、作用点はセロトニン5-HT₁<0xE2><0x82><0x90>受容体である。選択肢4が正しい。
問32,薬理,"[(4,)]",○,[4],アルツハイマー型認知症では、グルタミン酸神経系の機能異常が関与していると考えられている。グルタミン酸受容体の一つであるNMDA受容体が過剰に活性化されると、神経細胞死につながる可能性がある。メマンチンは、NMDA受容体に対して低親和性の非競合的拮抗薬であり、過剰なグルタミン酸による神経細胞毒性を抑制することで、アルツハイマー型認知症の症状進行を抑制する。リバスチグミン、ドネペジル、ガランタミンはコリンエステラーゼ阻害薬。エダラボンはフリーラジカルスカベンジャー。したがって、選択肢4が正しい。
問33,薬理,"[(5,)]",○,[5],セクキヌマブは、ヒト型抗ヒトインターロイキン(IL)-17Aモノクローナル抗体である。IL-17Aは、Th17細胞などから産生される炎症性サイトカインであり、尋常性乾癬や強直性脊椎炎などの自己免疫疾患の病態形成に深く関与している。セクキヌマブはIL-17Aに結合してその作用を中和することで、これらの疾患の症状を改善する。したがって、標的分子はIL-17Aである。選択肢5が正しい。
問34,薬理,"[(1,)]",○,[1],ニコランジルは、狭心症治療薬であり、二つの主要な作用機序を持つ。一つは、ニトログリセリンなどの硝酸薬と同様に、血管平滑筋細胞内でグアニル酸シクラーゼを活性化し、サイクリックGMP (cGMP) 濃度を上昇させて血管を拡張させる作用。もう一つは、血管平滑筋細胞膜のATP感受性K⁺チャネルを開口させ、細胞膜を過分極させることにより、電位依存性Ca²⁺チャネルからのCa²⁺流入を抑制し、血管を拡張させる作用である。したがって、cGMP濃度上昇作用とK⁺チャネル開口作用を併せ持つのはニコランジルである。選択肢1が正しい。
問35,薬理,"[(5,)]",○,[5],血液凝固カスケードにおいて、第Xa因子はプロトロンビンをトロンビンに変換する重要な酵素である。アンチトロンビンは、ヘパリン類の存在下で第Xa因子やトロンビンを不活性化する生理的な凝固制御因子である。直接経口抗凝固薬(DOAC)の中には、アンチトロンビンを介さずに直接第Xa因子を阻害するものがある。これらにはリバーロキサバン、アピキサバン、エドキサバンが含まれる。選択肢の中ではエドキサバンが該当する。エノキサパリン（低分子ヘパリン）やフォンダパリヌクス（選択的Xa阻害薬）はアンチトロンビン依存的に作用する。ダビガトランは直接トロンビン阻害薬。ワルファリンはビタミンK依存性凝固因子の合成を阻害する。したがって、選択肢5が正しい。
問36,薬理,"[(3,)]",○,[3],抗悪性腫瘍薬（化学療法）による悪心・嘔吐には、急性のものと遅発性のものがある。セロトニン(5-HT)は主に急性の嘔吐に関与し、サブスタンスPは主に遅発性の嘔吐に関与すると考えられている。サブスタンスPは、脳の嘔吐中枢などに存在するタキキニンNK₁受容体に結合して作用を発現する。アプレピタントは、選択的なNK₁受容体拮抗薬であり、サブスタンスPの結合を阻害することで、特に化学療法による遅発性の悪心・嘔吐を抑制する。オンダンセトロンは5-HT₃受容体拮抗薬。ドンペリドン、メトクロプラミドはドパミンD₂受容体拮抗薬。ジメンヒドリナートは抗ヒスタミン薬。したがって、選択肢3が正しい。
問37,薬理,"[(2,)]",○,[2],トピロキソスタットは、高尿酸血症治療薬であり、尿酸の生成を抑制する作用を持つ。生体内では、プリン体が代謝されてヒポキサンチン、キサンチンを経て、最終的にキサンチンオキシダーゼ（またはキサンチンデヒドロゲナーゼ）という酵素によって尿酸に変換される。トピロキソスタットは、このキサンチンオキシダーゼを選択的に阻害することで、尿酸の生成を抑制し、血中尿酸値を低下させる。したがって、阻害するのはキサンチンオキシダーゼである。選択肢2が正しい。
問38,薬理,"[(3,)]",○,[3],プロゲステロン（黄体ホルモン）は、子宮内膜の増殖を抑制する作用を持つ。ジエノゲストは、選択的なプロゲステロン受容体作動薬であり、プロゲステロン受容体を刺激することで、子宮内膜細胞の増殖を抑制し、子宮内膜症や月経困難症の治療に用いられる。リュープロレリンはGnRHアゴニスト、タモキシフェンはSERM、エンザルタミドは抗アンドロゲン薬、デュタステリドは5α還元酵素阻害薬である。したがって、選択肢3が正しい。
問39,薬理,"[(3,)]",○,[3],バンコマイシンは、グリコペプチド系の抗菌薬であり、細菌の細胞壁合成を阻害する。その作用機序は、細胞壁の構成成分であるペプチドグリカンの前駆体（リピド中間体）に含まれるペンタペプチド鎖の末端部分、D-アラニル-D-アラニン(D-Ala-D-Ala)に特異的に結合することである。これにより、ペプチドグリカンの伸長反応（トランスグリコシル化）と架橋反応（トランスペプチダーゼ反応）の両方が阻害され、細胞壁合成が停止する。アミカシンはアミノグリコシド系、セファゾリンはセフェム系、メロペネムはカルバペネム系、ミカファンギンは抗真菌薬であり、作用機序が異なる。したがって、選択肢3が正しい。
問40,薬理,"[(2,)]",○,[2],HER2（ヒト上皮増殖因子受容体2型）は、一部の乳がん細胞で過剰に発現しており、がん細胞の増殖に関与している。トラスツズマブは、HER2に対するヒト化モノクローナル抗体であり、HER2に特異的に結合する。これにより、HER2を介した増殖シグナルを阻害したり、抗体依存性細胞傷害(ADCC)活性を誘導したりすることで、HER2陽性乳がん細胞の増殖を抑制する。エキセメスタンはアロマターゼ阻害薬、ベバシズマブは抗VEGF抗体、ダウノルビシンとブスルファンは細胞傷害性の抗がん剤である。したがって、選択肢2が正しい。
問41,薬剤,"[(5,)]",○,[5],図は、細胞外の高分子医薬品が細胞膜の陥入によって小胞に取り込まれ、細胞内に輸送される過程を示している。これはエンドサイトーシスの一種であり、特に液体成分を取り込む場合は飲作用（ピノサイトーシス）と呼ばれる。この過程は細胞膜の形態変化を伴い、エネルギーを必要とする能動的な輸送機構である。選択肢の中では膜動輸送が最も広い概念として適切であるが、具体的なプロセスとしては飲作用が考えられる。選択肢に飲作用がないため、より広範な膜動輸送（エンドサイトーシスやエキソサイトーシスを含む）を示す選択肢5が最も適切である。単純拡散、促進拡散、一次性能動輸送、二次性能動輸送は主に低分子物質の膜透過機構である。
問42,薬剤,"[(4,)]",○,[4],経口投与された薬物の多くは、主に小腸から吸収される。小腸で吸収された薬物は、毛細血管に入り、門脈と呼ばれる血管に集められる。門脈は肝臓に直接つながっており、吸収された薬物はまず肝臓を通過する（初回通過効果を受ける）。肝臓を通過した後、大静脈を経て心臓に入り、全身循環へと移行する。したがって、正しい経路は「小腸 → 門脈 → 肝臓 → 全身循環系」である。選択肢4がこれに合致する。リンパ管へ吸収される経路もあるが、門脈経由が主要経路である。胆管は肝臓から十二指腸への胆汁の経路。
問43,薬剤,"[(5,)]",○,[5],プロプラノロールは塩基性薬物であり、血漿中では主にα₁-酸性糖タンパク質(AAG)とアルブミンに結合するが、AAGへの親和性が高い。AAGは、炎症性疾患、感染症、悪性腫瘍、心筋梗塞などの際に血中濃度が上昇する急性期タンパク質の一つである。したがって、炎症性疾患時にはAAGの濃度が増加するため、プロプラノロールの結合率が変動する可能性がある。最も強く結合するのはα₁-酸性糖タンパク質である。したがって、選択肢5が正しい。
問44,薬剤,"[(2,)]",○,[2],薬物代謝は、主に第I相反応（酸化、還元、加水分解など）と第II相反応（抱合反応）に分けられる。第II相反応では、薬物またはその第I相代謝物に、グルクロン酸、硫酸、アセチル基、グリシンなどの内因性物質が付加（抱合）され、水溶性が増して排泄されやすくなる。UDP-グルクロン酸転移酵素は、グルクロン酸抱合を触媒する代表的な第II相反応酵素である。シトクロムP450、フラビン含有モノオキシゲナーゼ、アルコール脱水素酵素、モノアミン酸化酵素は、主に第I相反応に関与する酵素である。したがって、選択肢2が正しい。
問45,薬剤,"[(3,)]",×,[2],"図は腎臓のネフロンにおける物質輸送を示している。有機アニオントランスポーター(OAT)は、薬物などの有機アニオンの尿中への分泌（血液→尿細管腔）に関与する。特にOAT1とOAT3は、主に近位尿細管の基底膜側（血液側）に発現しており、血液中の有機アニオンを尿細管細胞内に取り込む輸送を担っている。図中の矢印は血液から尿細管腔への物質の移動方向を示している。近位尿細管において、血液側から細胞内への取り込みを示すのはステップ2である。ステップ3は細胞内から尿細管腔への排出を示す。したがって、OAT1, OAT3を介した薬物の輸送（取り込み）を示すのは2である。選択肢2が正しい。"
問46,薬剤,"[(4,)]",×,[2],線形1-コンパートメントモデルに従う薬物を経口投与した場合、最高血中濃度到達時間(t_max)は、吸収速度定数(ka)と消失速度定数(ke)によって決まる。一般に、吸収が速いほど（kaが大きいほど）、t_maxは短縮する。逆に、吸収が遅いほど（kaが小さいほど）、t_maxは延長する。消失速度定数(ke)が小さい（消失が遅い）ほど、t_maxは延長する傾向がある。投与量の変化は最高血中濃度(C_max)に影響するが、t_maxには直接影響しない（線形の場合）。分布容積の増大はkeを小さくする可能性があり、t_maxを延長させる方向に働く。したがって、t_maxが短縮する要因は吸収速度の上昇である。選択肢2が正しい。
問47,薬剤,"[(4,)]",○,[4],静脈内定速注入を開始後、血中濃度が定常状態(Css)に達するまでの時間は、消失半減期(t₁/₂)に依存する。血中濃度がCssの50%に達するのに t₁/₂、75%に達するのに 2 * t₁/₂、87.5%に達するのに 3 * t₁/₂、約94%に達するのに 4 * t₁/₂ かかる。問題では消失半減期が2時間であり、定常状態の75%に到達する時間を問われているため、2 * t₁/₂ = 2 * 2時間 = 4時間となる。したがって、選択肢4が正しい。
問48,薬剤,"[(4,)]",○,[4],肝クリアランス(CLh)は、肝臓を通過する血液から薬物が除去される効率を示す指標である。Well-stirred model によると、CLh = (Qh * fu * CLint) / (Qh + fu * CLint) で表される。ここで、Qhは肝血流量、fuは血漿タンパク非結合形分率、CLintは肝固有クリアランス（肝細胞自体の代謝・排泄能力）である。肝固有クリアランス(CLint)が肝血流量(Qh)と比較して十分に小さい薬物（低クリアランス薬）の場合、fu * CLint << Qh とみなせる。このとき、分母の (Qh + fu * CLint) は Qh と近似できるため、CLh ≈ (Qh * fu * CLint) / Qh = fu * CLint となる。したがって、肝クリアランスは fu * CLint に近似できる。選択肢4が正しい。
問49,薬剤,"[(5,)]",○,[5],界面活性剤は、水中で解離した際にイオン性を示す部分の電荷によって分類される。陽イオン性界面活性剤は、親水基部分が陽電荷（プラス）を帯びるもの。選択肢の中で、ベンゼトニウム塩化物は第4級アンモニウム塩であり、水中で陽イオンとなるため、陽イオン性界面活性剤である。ステアリン酸ナトリウムとラウリル硫酸ナトリウムは、カルボキシ基や硫酸エステル基が陰イオンとなるため、陰イオン性界面活性剤。ポリソルベート80はポリオキシエチレン鎖を持ち、非イオン性界面活性剤。レシチンはリン脂質であり、分子内に正電荷と負電荷の両方を持つ両性イオン性界面活性剤。したがって、選択肢5が正しい。
問50,薬剤,"[(1,)]",○,[1],流動層造粒乾燥機は、粉末原料を装置内で空気によって流動させながら、結合剤溶液を噴霧して粒子を凝集・成長させて造粒し、同時に熱風で乾燥までを行うことができる装置である。混合、造粒、乾燥の主要な工程を一つの装置内で完結できるため、工程の短縮やコンタミネーション防止に有利である。他の選択肢の装置（転動造粒機、押出し造粒機、噴霧乾燥造粒機、破砕造粒機）は、通常、混合や乾燥は別の装置や工程で行う必要がある。したがって、選択肢1が正しい。
問51,薬剤,"[(2,)]",○,[2],提示されたレオグラムは、せん断速度を上昇させたとき（上昇曲線）と下降させたとき（下降曲線）で、せん断応力とせん断速度の関係が異なる経路をたどり、ループ（ヒステリシスループ）を描いている。これは、せん断を加えることによって内部構造が破壊されて粘度が低下し、せん断を止めると時間とともに構造が再構築されて粘度が回復する性質を示すものであり、チキソトロピーと呼ばれる現象である。クリープは一定応力下での変形の時間依存性、応力緩和は一定ひずみ下での応力の時間依存性、ダイラタンシーはせん断速度の増加とともに粘度が増加する現象、コアセルベーションは相分離現象である。したがって、選択肢2が正しい。
問52,薬剤,"[(2,)]",○,[2],透析用剤は、体内に大量に注入されるため、その安全性、特に発熱性物質の混入がないことが極めて重要である。エンドトキシンは、グラム陰性菌の細胞壁成分であり、強力な発熱性物質であるため、透析液中のエンドトキシン濃度は厳しく管理されなければならない。そのため、日本薬局方の一般試験法であるエンドトキシン試験法が適用される。アルコール数測定法はエタノール濃度、重金属試験法は重金属不純物、制酸力試験法は制酸剤、溶出試験法は固形製剤からの薬物放出性を評価する試験であり、透析用剤の主要な試験法ではない。したがって、選択肢2が正しい。
問53,薬剤,"[(1,)]",○,[1],図は、カプセル内に速放性の顆粒と、放出速度が異なる複数の徐放性顆粒（コーティングの厚みを変えるなどして放出速度を制御）を混合して充填した製剤の模式図である。このような設計により、薬物の放出を持続させ、血中濃度を長時間維持することを目的としている。このタイプの放出制御型カプセル剤は、スパンズル(Spansule)型と呼ばれる。ロンタブ型は有核錠、グラデュメット型は不溶性マトリックス錠、スパスタブ型はワックスマトリックス錠、レジネート型はイオン交換樹脂を利用した製剤である。したがって、選択肢1が正しい。
問54,薬剤,"[(3,)]",○,[3],薬物の直腸からの吸収を改善するために、吸収促進剤が用いられることがある。カプリン酸ナトリウムは、炭素数10の中鎖脂肪酸ナトリウム塩であり、界面活性作用を持つ。直腸粘膜に対する作用により、薬物の透過性を高め、吸収を促進する効果が期待され、坐剤などの吸収改善に用いられることがある。アルギン酸ナトリウムは基剤、安息香酸ナトリウムは保存剤、チオグリコール酸は還元剤（脱毛剤など）、プロカイン塩酸塩は局所麻酔薬である。したがって、選択肢3が正しい。
